Instance,N Jobs,N Machines,N Tasks,N Individuals,N Iterations,Mutation Prob.,Xover Prob.,Threshold,Mode,Factor,Xover type,Mutation type,Iteration,Tardiness,Energy,N Generations,Execution Time
17,4,2,14,200,10,15,100,25,GPMX,INV,0,1,4,1064,570.7029999999851,48,12.143505811691284
17,4,2,14,200,10,15,100,25,GPMX,INV,0,1,5,1172,570.7029999999853,39,9.822179794311523
17,4,2,14,200,10,15,100,25,GPMX,INV,0,1,6,1072,570.7029999999853,38,9.346482276916504
17,4,2,14,200,10,15,100,25,GPMX,INV,0,1,7,1064,570.7029999999851,52,13.12692379951477
17,4,2,14,200,10,15,100,25,GPMX,INV,0,1,8,624,570.7029999999851,55,13.778747797012329
17,4,2,14,200,10,15,100,25,GPMX,INV,0,1,9,1064,570.7029999999851,47,11.750211238861084
17,4,2,14,200,10,15,100,25,GPMX,INV,0,1,10,972,570.7029999999853,40,10.013960599899292
18,4,2,9,200,10,15,100,25,GPMX,INV,0,1,1,752,328.43399999999036,26,4.398838520050049
18,4,2,9,200,10,15,100,25,GPMX,INV,0,1,2,722,328.43399999999036,26,4.579588174819946
18,4,2,9,200,10,15,100,25,GPMX,INV,0,1,3,752,328.43399999999036,26,4.271646976470947
18,4,2,9,200,10,15,100,25,GPMX,INV,0,1,4,752,328.43399999999036,26,4.275817632675171
18,4,2,9,200,10,15,100,25,GPMX,INV,0,1,5,912,328.43399999999036,30,5.01239013671875
18,4,2,9,200,10,15,100,25,GPMX,INV,0,1,6,722,328.43399999999036,28,4.576236963272095
18,4,2,9,200,10,15,100,25,GPMX,INV,0,1,7,722,328.43399999999036,26,4.257471323013306
18,4,2,9,200,10,15,100,25,GPMX,INV,0,1,8,752,328.43399999999036,28,4.808715581893921
18,4,2,9,200,10,15,100,25,GPMX,INV,0,1,9,722,328.43399999999036,27,4.470813989639282
18,4,2,9,200,10,15,100,25,GPMX,INV,0,1,10,912,328.43399999999036,26,4.278334856033325
19,2,4,4,200,10,15,100,25,GPMX,INV,0,1,1,646,107.47666666666476,26,2.3093788623809814
19,2,4,4,200,10,15,100,25,GPMX,INV,0,1,2,646,107.47666666666476,26,2.3813679218292236
19,2,4,4,200,10,15,100,25,GPMX,INV,0,1,3,646,107.47666666666476,26,2.396580457687378
19,2,4,4,200,10,15,100,25,GPMX,INV,0,1,4,646,107.47666666666476,26,2.2197155952453613
19,2,4,4,200,10,15,100,25,GPMX,INV,0,1,5,646,107.47666666666476,26,2.233144760131836
19,2,4,4,200,10,15,100,25,GPMX,INV,0,1,6,646,107.47666666666476,26,2.2242653369903564
19,2,4,4,200,10,15,100,25,GPMX,INV,0,1,7,646,107.47666666666476,26,2.2372493743896484
19,2,4,4,200,10,15,100,25,GPMX,INV,0,1,8,646,107.47666666666476,26,2.259781837463379
